Title,Channel Name,Channel Logo,Thumbnail URL,Video URL,Views,Time Uploaded
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,https://yt3.ggpht.com/nhDLqeIgXMJBDIrX2bXavvHoWX0tsslDEh7k2xZ1P0W8b_CMRVigp2kxJubYEVwBcBlogZDe=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi_webp/ERCMXc8x7mc/hqdefault.webp,https://www.youtube.com/watch?v=ERCMXc8x7mc&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,536K views,2 weeks ago
Python Tutorial for Beginners | Learn Python in 1.5 Hours,Apna College,https://yt3.ggpht.com/nhDLqeIgXMJBDIrX2bXavvHoWX0tsslDEh7k2xZ1P0W8b_CMRVigp2kxJubYEVwBcBlogZDe=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/vLqTf2b6GZw/hqdefault_13933.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClydGRJPqtZBZ5cfjvEGwnp3t-Pg,https://www.youtube.com/watch?v=vLqTf2b6GZw&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,9.1M views,2 years ago
Python Full Course For Beginners [Tutorial] 2023 | Python One Shot | College Wallah,College Wallah,https://yt3.ggpht.com/ClvFiuBkCGNqBgiV6BEI_nlLpdPXDD5yi_3GH2PpoZ-Oe49StwMMmhbybcKVGKQma0ZO2JVkpg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi_webp/XnSasPR2KJI/hqdefault.webp,https://www.youtube.com/watch?v=XnSasPR2KJI&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,1.2M views,5 months ago
WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,GeeksforGeeks,https://yt3.ggpht.com/ytc/AIdro_m8gxBdImNG5l_A_PkDKngTH9HwMNHCLgTvRCgP7g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi_webp/AmU9Zi6TNrs/hqdefault.webp,https://www.youtube.com/watch?v=AmU9Zi6TNrs&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,497 views,21 hours ago
Python Programming Full Tutorial in One Video (2024) | Python full course,CoDing SeeKho(by Vikas Singh),https://yt3.ggpht.com/kVdUh_y72y0I6rfRTpP0mFcl-VdvAYvAOPvKNuER3fYVefbR0GFIBX8FYVnie6WE6FrQtF23OQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/0v3bpmHc02I/hqdefault.jpg,https://www.youtube.com/watch?v=0v3bpmHc02I&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,351K views,4 months ago
Python Programming Full Tutorial in One Video (2024) | Python full course,CoDing SeeKho(by Vikas Singh),https://yt3.ggpht.com/kVdUh_y72y0I6rfRTpP0mFcl-VdvAYvAOPvKNuER3fYVefbR0GFIBX8FYVnie6WE6FrQtF23OQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/0v3bpmHc02I/hqdefault.jpg,https://www.youtube.com/watch?v=0v3bpmHc02I&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,351K views,4 months ago
Python Tutorial - Python Full Course for Beginners,Programming with Mosh,https://yt3.ggpht.com/ebu9ZksIXw0tUWBZd6rtk-It8VGSk8AdfSI_eGR-fl6WGet9LnVPngNQCmjdLJeGXpuylwYInQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/_uQrJ0TkZlc/hqdefault_2266.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBobJ03titjP6CJLnjLpIB4LDtwRA,https://www.youtube.com/watch?v=_uQrJ0TkZlc&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,37M views,5 years ago
Python for Beginners - Learn Python in 1 Hour,Programming with Mosh,https://yt3.ggpht.com/ebu9ZksIXw0tUWBZd6rtk-It8VGSk8AdfSI_eGR-fl6WGet9LnVPngNQCmjdLJeGXpuylwYInQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/kqtD5dpn9C8/hqdefault_10000.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8FLj8IOFMnloUX0VPkb8KGmy9Kw,https://www.youtube.com/watch?v=kqtD5dpn9C8&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,15M views,3 years ago
C Language Tutorial for Beginners (with Notes & Practice Questions),Apna College,https://yt3.ggpht.com/nhDLqeIgXMJBDIrX2bXavvHoWX0tsslDEh7k2xZ1P0W8b_CMRVigp2kxJubYEVwBcBlogZDe=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/irqbmMNs2Bo/hqdefault.jpg,https://www.youtube.com/watch?v=irqbmMNs2Bo&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,27M views,1 year ago
C Language Tutorial for Beginners (with Notes & Practice Questions),Apna College,https://yt3.ggpht.com/nhDLqeIgXMJBDIrX2bXavvHoWX0tsslDEh7k2xZ1P0W8b_CMRVigp2kxJubYEVwBcBlogZDe=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/irqbmMNs2Bo/hqdefault.jpg,https://www.youtube.com/watch?v=irqbmMNs2Bo&pp=ygUacHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWc%3D,27M views,1 year ago
